Cotidianas/fáciles,,,,,,0
Seitan,https://www.connoisseurusveg.com/how-to-make-seitan ,"Hervir bajo 45 min y dejar reposar 15 más después. O al vapor 25 minutos. La última vez hice con 4 tazas de gluten, en la olla gigante. 2024: le puse dos cucharaditas de ajo en polvo, dos de paprika, una de merkén, dos cucharadas de salsa de soja y un chorro de humo líquido al agua antes de mezcla (quedó suave, podría ser más), y lo hice con la misma cantidad de agua que de gluten, no un poco menos. En la olla gigante al 75% de agua, con la hornalla de atrás al mínimo NO se mantiene el simmer unattended, conviene pasarlo a una más chica. Amasé bastante enérgicamente pero lo sentí flojo así que le di 6 min aprox. Al vapor 30 min quedó un poco chicle, quizás estaba bien amasar 5 min y/o cocinarlo 25 min.",,,,1
Fideos chinos 2023 ,"Cocinar champiñones en aceite de maíz y separar. En aceite de maíz fuego fuerte cocinar PALITOS de cebolla, cebolla de verdeo tb con partes verdes, morrón, zanahoria. Apartar, dorar ajo, agregar agua y hervir los hongos de pino previamente remojados, ponerle al agua una cucharadita y media de 5 especias chinas, 3 cucharadas de salsa de soja, una cucharada de caldo de verduras, una rodajita de jengibre picado. Con un hervor SUAVE hacer 3 min los cabellos de ángel (ayudar a separar los ""nidos"" con tenedor, normalmente pongo 6) y en el último minuto agregar todo lo demás. Probar con morrones de otros colores, y semillas. También: arvejas, apio, aceite de sésamo, glutamato. ",,,,,1
Milanesas de garbanzos que hizo Katia ,https://www.instagram.com/reel/Cwi_2YPsaOp/?igshid=MTc4MmM1YmI2Ng==,"Garbanzos pesar antes de remojar. La cantidad de agua que le pone es un delirio, probar 30ml (25ml creo que fue poco-- terminé de mezclar con tenedor para no fundir la máquina). MUCHOS CONDIMENTOS. Probamos con Harissa (en dirección a Falafel); probar con Menta; esa versión queda bien con limón arriba. 12/2/24: 3 cdtas harissa, 3 ajo en polvo, humo líquido, 20 hojas de menta, la mitad del agua fue jugo de limón. Probé con Sichimi. Probar con menos harina (tomando la receta como garbanzos sin remojo). 25/2: probé piri-piri. Tomando garbanzos por peso seco y taza de café = 100 ml. Salieron poco firmes, blandas, veremos si más ricas. Probé 10% menos de agua y 20% más de harina por ponerle media cebolla (150g de harina y 75ml para 200g de garbanzos) ",,,Para 200g garbanzos: 130g harina leudante; 1.66 cd aceite; 75 ml agua.,1
Cómo cocinar arroz para que quede suelto. ,,"Lavarlo hasta que salga el agua limpia (sacarle el almidón), hervirlo en 2 tazas de agua por cada una de arroz (esta cantidad es para cocinarlo con la olla tapada, la mía tiene agujeros... Puede ser en el wok con la tapa de vidrio) y un poco de aceite, en temperatura BAJA. No revolver mucho para que no suelte el almidón. Con menos almidón, se puede cocinar 15 minutos en vez de 20.",,,,2
Hummus Upd. 2025,http://www.lostragaldabas.net/hummus-receta-original/,"Garbanzos (o porotos negros) y Tahini (sésamo molido y dorado, aceite de oliva, ajo, perejil), jugo de limón, comino, agua. 2025: Tahini comprado, harissa en vez de comino solo, y voy a probar con humo líquido. Nejo lo hace con zanahoria. Va bien con garbanzos freezados.",,,,100
Pasta caprese,https://cookieandkate.com/2018/caprese-pasta-salad/,"Cocinar tomates cherry, aceite de oliva; aceto, muzarella, albahaca",,,,100
Batatas al horno plus(?),https://minimalistbaker.com/mediterranean-baked-sweet-potatoes/,"Batatas por la mitad con garbanzos dorados, salsa de ajo y tahini, tomate y perejil",,,,100
Pasta con palta y albahaca,https://damndelicious.net/2014/06/20/avocado-pasta/,"Minipimer palta, ajo, albahaca, jugo de limón, aceite de oliva y listo",,,,100
Milanesas de berenjena,,Pensar cómo hacer que queden menos blandas; más finas? Probar papel de aluminio para cocinarlas ,,,,100
Canelones de espinaca y champiñones,https://cookpad.com/es/recetas/114307-canelones-rellenos-de-espinacas-y-champinones,Con quesos y ajo,,,,100
,https://www.bekiacocina.com/recetas/crepes-sin-huevo/,y crepes sin huevo,,,,100
Chili de tres porotos,https://www.realsimple.com/food-recipes/browse-all-recipes/three-bean-chili-spring-pesto,"Cebolla, zanahoria; tomates en lata; porotos ""riñón"", garbanzos, porotos colorados; servir con pesto",,,,100
Sopa china,https://www.realsimple.com/food-recipes/browse-all-recipes/asian-hot-pot,"Hongos, caldo vegetal, salsa de soja, jengibre, cebolla de verdeo, chauchas, zanahorias; servir tipo sopa con fideos de arroz",,,,100
Salsa de alcaparras para pastas,https://www.lacocinadealimerka.com/web/index.php/recetas/como-preparar-salsa-de-alcaparras,,,,,100
"Ensalada de palta, lechuga, porotos y choclo",https://www.realsimple.com/food-recipes/browse-all-recipes/cool-southwestern-salad,,,,,100
"Pesto con albahaca, almendras, ajo, aceite de oliva y queso de cabra o parmesano. Se puede freezar en bolitas separadas.",,,,,,100
,,^ Probar de trenzarlo y sellarlo antes de hervir. https://www.instagram.com/p/CL7cq_LDGY2/?igshid=2uq48l3o4y8c,,,,100
Chipá ,https://web.archive.org/web/20171009123426/https://colectivosolidario.org/2015/09/29/chipa-fecula-de-mandioca/,"Agregar sal, la proporción de queso total fue 1:1 con la fécula, cocinar media hora al máximo aprox. Quedan mejor en anillo. Si hago dos bandejas, dar vuelta los de la de abajo a los 20, tostados quedan feos. ",,,,100
Arroz con azafrán y espárragos,https://veggiechick.com/saffron-rice-with-asparagus/,,,,,100
"Espárragos, champiñones y arvejas ","Salteado con fuego fuerte, abundante aceite de oliva, sal, pimienta y muzarella derretida ",,,,,100
Quesadilla de batata y porotos negros,https://www.tasteofhome.com/recipes/sweet-potato-bean-quesadillas/,,,,,100
Seitan chorizo ,https://www.sprint2thetable.com/sausage-making-seitan-chorizo/,Yo le mandé cardamomo y glutamato. Probar pimienta de jamaica + pimentón ahumado!!,,,,100
Ensalada de fruta ,,,,,,100
Zapallo con muzarella y estragón ,,,,,,100
"Ensalada de cherrys, albahaca, palta, muzarella y croutons de prepizza (con ajo y oliva)",,,,,,100
"Mujaddara (lentejas, cebolla caramelizada, pimentón, comino, limón por el hierro) ",https://tinacocina.com/mujaddara-mejandra-mudardara-myadra-arroz-lentejas-cebolla/,"Cebolla caramelizada: al mínimo media hora, con una cucharadita de bicarbonato. Sirve para muchas otras cosas.",,,,100
"Tofu finito en la sartén, con aceite de oliva, salsa de soja, ajo en polvo y levadura nutricional ",,,,,,100
"Porotos negros con ajo, oliva, ají, etc... ",,Quedan re bien con pategrás derretido. Acompañar con jugo de limón o naranja.,,,,100
Falafel,,,,,,100
Tapioca con relleno dulce o salado,Crepes de fécula de mandioca,,,,,100
Feijoada,https://fussfreeflavours.com/brazilian-roasted-vegetable-feijoada/#wprm-recipe-container-41463,,,,,100
"Croutons: sacarle la corteza al pan, en daditos iguales, con ajo en polvo. ",,,,,,100
Ensalada de palmitos con palta y mango. Con un poquito de salsa de soja? ,https://peopleenespanol.com/recetas/11218-ensalada-de-palmitos-aguacate-y-mango/,,,,,100
"Ensalada griega: tomate, pepino, morrón rojo, queso (blando, tipo de cabra o ricota), alcaparras, aceitunas; pimienta negra, orégano, aceite de oliva",,,,,,100
Pan lactal con miel ,https://www.pequerecetas.com/receta/pan-de-molde-paso-a-paso/,"Usé 600gr de harina (bien asentada en el vaso de medir, si no probablemente 50gr+). 30-35 minutos en el horno choto precalentado (temp media), en el estante del medio tirando hacia atrás",,,,100
Ensalada de rucula y pera,"Probar con limón, aceite, merkén (ají)",,,,,100
Palmitos gratinados ,https://www.cocinavegetariana.net/palmitos-gratinados/,,,,,100
Sopa con fideos chinos baba,"Ajo, zanahoria muy rallada, mucha cebolla de verdeo, hongos de pino. Rehogar todo en aceite de oliva y agua. Dos calditos de verdura, ají, pimienta blanca, jengibre, glutamato, un par de cucharadas de salsa de soja; después agregar agua y sal gruesa y cocinar los fideos finos ahí. Lo hice con seitán dorado aparte en la sartén. Moderar sal gruesa o no usar. Opcional anis estrellado. Si es un fideo de arroz fino, probar remojar 10 min en agua fría y usar así, sin cocinar; o al menos no cocinar junto con la sopa. 2024: 5 especias chinas, aceite de sésamo, parte de verde de cebolla de verdeo sin cocción. ",,,,,100
